candidateId,sourceFile,predictedJointClass,predictedLinkType,predictedProtocolFamily,classificationConfidence,linkConfidence,protocolConfidence,classificationMargin,pUnknown,unknownRejected,unknownDecisionReason,candidateStartSec,candidateEndSec,sampleRateHz,captureCenterFrequencyHz,candidateCenterOffsetHz,centerFrequencyHz,bandwidthHz,coarseCfoHz,framePeriodEstimateSec,frameStructureScore,preambleRepeatScore,syncStrategy,fftCpHint,parserTemplateId,modelFidelity,evidenceLevel,claimBoundary,payloadEncoding,decoderRequirement,candidateIqArtifact,artifactAvailable,recommendedGuardSec,truthFramesOverlappedForEvaluation
sim_autel_control_001_M001,sim_autel_control_001,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.451566666666667,0.451566666666667,0.451566666666667,0.256233333333333,0.1571,0,随机森林：置信度=0.452，间隔=0.256,0.01856375,0.0234070833333333,30720000,2437500000,-5910000,2431590000,12140000,428216.545939181,0.0011259765625,0.666681716129738,0.195818387268083,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_control_001_M001.mat,1,0.0006,2
sim_autel_control_009_M005,sim_autel_control_009,Autel_Control_C2_like,Control_C2,Autel_SkyLink_like,0.490833333333333,0.490833333333333,0.490833333333333,0.327666666666667,0.120166666666667,0,随机森林：置信度=0.491，间隔=0.328,0.00147291666666667,0.0102604166666667,30720000,2437500000,-9865000,2427635000,11050000,524129.129513432,0.00126725260416667,0.516157729576266,0.0522904647159094,SkyLink-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或窄带OFDM多候选，不得固定写成真实SkyLink参数",AUTEL_SKYLINK_PROXY_CONTROL_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_control_009_M005.mat,1,0.0006,2
sim_autel_control_010_M001,sim_autel_control_010,Autel_Control_C2_like,Control_C2,Autel_SkyLink_like,0.605433333333333,0.605433333333333,0.605433333333333,0.436766666666666,0.0481666666666667,0,随机森林：置信度=0.605，间隔=0.437,0.00223333333333333,0.02994375,30720000,5800000000,-1800000,5798200000,13760000,-263779.893499213,0.00304158528645833,0.725816067862094,0.0435320395204324,SkyLink-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或窄带OFDM多候选，不得固定写成真实SkyLink参数",AUTEL_SKYLINK_PROXY_CONTROL_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_control_010_M001.mat,1,0.0006,6
sim_autel_control_016_M001,sim_autel_control_016,DJI_DroneID_like,Identity_Broadcast,DJI_DroneID_like,0.5454,0.5454,0.5454,0.192800000000001,0.0306666666666666,0,随机森林：置信度=0.545，间隔=0.193,0,0.0111333333333333,30720000,5800000000,1290000,5801290000,21860000,-602064.54108956,0.0053119140625,0.666870422595865,0.0531000038887684,公开基线：谱中心/CFO + 15.36Msps等效重采样 + ZC roots 600/147 + CP 80/72 + 9符号对齐,"公开协议域：Fs=15.36Msps,NFFT=1024,CP=[80,72x7,80],9 symbols,ZC roots 600/147；采集域按Fs重采样",DJI_DRONEID_PUBLIC_PHY_ENGINEERING_PAYLOAD_V2,A,15.36Msps、1024FFT、9符号、CP80/72、ZC600/147、601个中心位置/600个QPSK数据载波,公开物理层基线，不是完整DJI私有解码器,ENGINEERING_BITS_MAPPED_TO_PUBLIC_DRONEID_PHY,模块3按公开ZC/CP对齐；后续真实字节恢复仍需信道估计、QPSK解调、解扰、Turbo/速率匹配与deframe,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_control_016_M001.mat,1,0.0006,2
sim_autel_control_019_M001,sim_autel_control_019,DJI_Control_C2_like,Control_C2,DJI_OcuSync_like,0.364966666666667,0.364966666666667,0.364966666666667,0.0347999999999999,0.184266666666667,0,随机森林：置信度=0.365，间隔=0.035,0.0126395833333333,0.02279375,30720000,2437500000,-4560000,2432940000,18440000,2419050.58613279,0.00198543294270833,0.569582619552102,0.0541287221395369,OcuSync-like代理：突发分组+SC/OFDM候选库+逐突发CFO,"私有代理：SC-QPSK或OFDM控制突发多候选",DJI_OCUSYNC_PROXY_CONTROL_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_control_019_M001.mat,1,0.0006,3
sim_autel_control_020_M001,sim_autel_control_020,RemoteID_BLE_like,Identity_Broadcast,RemoteID_BLE_like,0.411333333333333,0.411333333333333,0.411333333333333,0.130833333333333,0.0951666666666667,0,随机森林：置信度=0.411，间隔=0.131,0.0168729166666667,0.0278520833333333,30720000,5800000000,2730000,5802730000,7656000,164021.872175125,0.0049724609375,0.678498425007318,0.0229250806403596,BLE LE1M前导/AA相关 + GFSK定时 + channel-38去白化 + CRC24 + OpenDroneID 25字节消息解析,"BLE LE1M/GFSK；AA=8E89BED6；广告信道38；PDU+CRC24去白化后解析",OPENDRONEID_25BYTE_OVER_BLE_LEGACY_ADV_V2,B,BLE LE1M、广告AA、CRC/白化结构、OpenDroneID 25字节消息布局,标准结构测试波形，不等同认证产品,OPENDRONEID_25BYTE_BINARY_MESSAGE,BLE LE1M GFSK解调、AA同步、信道去白化、CRC24、Service Data FFFA/0D与25字节ODID消息解析,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_control_020_M001.mat,1,0.0006,2
sim_autel_control_025_M002,sim_autel_control_025,Unknown_UAV_like,Unknown_UAV_Link,Unknown_Protocol,0.365233333333333,0.365233333333333,0.365233333333333,0.0235666666666667,0.341666666666667,1,随机森林高未知支撑二级门控：置信度=0.365，间隔=0.024，未知概率=0.342,0.0157252083333333,0.0196852083333333,30720000,2437500000,7230000,2444730000,15860000,-1192000.49902692,0.00158951822916667,0.482366625268348,0.0457876079983926,未知重复模式/近邻OFDM/突发聚类；仅输出候选结构和置信度,"unknown/open-set：盲估计",UNKNOWN_DISCOVERY_TEMPLATE_V2,D,通用体制和近邻未知设计,开放集压力样本，不代表真实未知协议总体,OPEN_SET_STRESS_PAYLOAD,盲结构发现，仅输出候选边界/周期/置信度,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_control_025_M002.mat,1,0.0006,2
sim_autel_wideband_001_M001,sim_autel_wideband_001,Autel_Wideband_Video_Data_like,Wideband_Video_Data,Autel_SkyLink_like,0.496333333333333,0.496333333333333,0.496333333333333,0.203,0.0124,0,随机森林：置信度=0.496，间隔=0.203,0.00288125,0.0216916666666667,30720000,2437500000,6000000,2443500000,17480000,447228.952429784,0.00085283203125,0.620386600958367,0.0586932532980856,SkyLink-like代理：多numerology盲CP/前导族搜索与多帧对齐,"私有代理：512/1024/2048等多候选FFT与不同CP，仅供盲同步测试",AUTEL_SKYLINK_PROXY_WIDEBAND_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_wideband_001_M001.mat,1,0.0006,17
sim_autel_wideband_006_M001,sim_autel_wideband_006,DJI_Wideband_Video_Data_like,Wideband_Video_Data,DJI_OcuSync_like,0.623,0.623,0.623,0.301166666666666,0.0173333333333334,0,随机森林：置信度=0.623，间隔=0.301,0.00417083333333333,0.02493125,30720000,5800000000,2310000,5802310000,16580000,1340456.40494262,0.0009150390625,0.632402310236623,0.0264164406110601,OcuSync-like代理：盲CP/重复模式搜索；不得硬编码单一FFT/CP为厂商真值,"私有代理：NFFT/CP为多候选，不得固定写成真实OcuSync参数",DJI_OCUSYNC_PROXY_WIDEBAND_V2,C,DJI公开频段和10/20/部分40MHz带宽等宏观能力,OcuSync-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_wideband_006_M001.mat,1,0.0006,16
sim_autel_wideband_010_M001,sim_autel_wideband_010,Autel_Wideband_Video_Data_like,Wideband_Video_Data,Autel_SkyLink_like,0.420833333333333,0.420833333333333,0.420833333333333,0.224666666666666,0.0884999999999999,0,随机森林：置信度=0.421，间隔=0.225,0,0.02396875,30720000,5800000000,1140000,5801140000,23360000,-1021873.89860929,0.000755273437500001,0.639481006155117,0.0407013158174044,SkyLink-like代理：多numerology盲CP/前导族搜索与多帧对齐,"私有代理：512/1024/2048等多候选FFT与不同CP，仅供盲同步测试",AUTEL_SKYLINK_PROXY_WIDEBAND_V2,C,SkyLink多频、高清链路和抗干扰宏观能力,SkyLink-like工程代理，不是协议复刻,ENGINEERING_PRIVATE_PROTOCOL_PROXY,私有协议：先做盲同步/重复结构；有实测证据后再建立设备/固件版本模板，不得直接套用仿真代理参数,results_wrj_m12_unknown_58g_final/05_DATA/module3_candidate_iq/sim_autel_wideband_010_M001.mat,1,0.0006,18
