candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_autel_control_009_M005,1,38697,38698,0.406334
sim_autel_control_009_M005,2,82956,82957,0.441980
sim_autel_control_009_M005,3,125923,125924,0.851406
sim_autel_control_009_M005,4,127022,127023,0.941657
sim_autel_control_009_M005,5,128137,128138,0.938059
sim_autel_control_009_M005,6,129274,129275,0.968826
sim_autel_control_009_M005,7,130376,130377,0.977495
sim_autel_control_009_M005,8,131497,131498,0.938267
sim_autel_control_009_M005,9,194384,194385,0.394359
sim_autel_control_009_M005,10,197607,197608,0.420078
sim_autel_control_009_M005,11,200617,200618,0.411747
sim_autel_control_009_M005,12,209884,209885,0.904947
sim_autel_control_009_M005,13,210982,210983,0.918775
sim_autel_control_009_M005,14,212101,212102,0.968398
sim_autel_control_009_M005,15,213236,213237,0.967210
sim_autel_control_009_M005,16,214339,214340,0.973008
sim_autel_control_009_M005,17,220364,220365,0.393684
sim_autel_control_009_M005,18,225326,225327,0.455005
sim_autel_control_009_M005,19,256168,256169,0.394374
sim_autel_control_009_M005,20,265618,265619,0.426317
