candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_autel_wideband_015_M001,1,109470,109471,0.892699
sim_autel_wideband_015_M001,2,114652,114653,0.878260
sim_autel_wideband_015_M001,3,129000,129001,0.876263
sim_autel_wideband_015_M001,4,136488,136489,0.884698
sim_autel_wideband_015_M001,5,178031,178032,0.874337
sim_autel_wideband_015_M001,6,179181,179182,0.891442
sim_autel_wideband_015_M001,7,181485,181486,0.870680
sim_autel_wideband_015_M001,8,225197,225198,0.871145
sim_autel_wideband_015_M001,9,277243,277244,0.882955
sim_autel_wideband_015_M001,10,277818,277819,0.871143
sim_autel_wideband_015_M001,11,293441,293442,0.873336
sim_autel_wideband_015_M001,12,298623,298624,0.878946
sim_autel_wideband_015_M001,13,355781,355782,0.869437
sim_autel_wideband_015_M001,14,380797,380798,0.872654
sim_autel_wideband_015_M001,15,403745,403746,0.877472
sim_autel_wideband_015_M001,16,427777,427778,0.872861
sim_autel_wideband_015_M001,17,430078,430079,0.870167
sim_autel_wideband_015_M001,18,456515,456516,0.890685
sim_autel_wideband_015_M001,19,457667,457668,0.874046
sim_autel_wideband_015_M001,20,472446,472447,0.875842
