candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_dji_control_004_M001,1,79550,79551,0.996014
sim_dji_control_004_M001,2,147272,147273,0.996315
sim_dji_control_004_M001,3,147849,147850,0.998617
sim_dji_control_004_M001,4,148406,148407,0.997936
sim_dji_control_004_M001,5,193944,193945,0.997560
sim_dji_control_004_M001,6,195108,195109,0.997123
sim_dji_control_004_M001,7,195681,195682,0.997105
sim_dji_control_004_M001,8,294083,294084,0.997557
sim_dji_control_004_M001,9,295241,295242,0.996111
sim_dji_control_004_M001,10,341781,341782,0.999271
sim_dji_control_004_M001,11,342366,342367,0.997910
sim_dji_control_004_M001,12,342917,342918,0.998166
sim_dji_control_004_M001,13,414990,414991,0.996896
sim_dji_control_004_M001,14,415549,415550,0.997975
sim_dji_control_004_M001,15,416137,416138,0.997480
sim_dji_control_004_M001,16,445965,445966,0.997382
sim_dji_control_004_M001,17,447697,447698,0.998729
sim_dji_control_004_M001,18,503812,503813,0.998644
sim_dji_control_004_M001,19,504377,504378,0.998707
sim_dji_control_004_M001,20,504946,504947,0.999354
