candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_dji_wideband_018_M001,1,66556,66557,0.948401
sim_dji_wideband_018_M001,2,70972,70973,0.952745
sim_dji_wideband_018_M001,3,114644,114645,0.952883
sim_dji_wideband_018_M001,4,171369,171370,0.949677
sim_dji_wideband_018_M001,5,173577,173578,0.950987
sim_dji_wideband_018_M001,6,198896,198897,0.950962
sim_dji_wideband_018_M001,7,201107,201108,0.956355
sim_dji_wideband_018_M001,8,236087,236088,0.957417
sim_dji_wideband_018_M001,9,295700,295701,0.948292
sim_dji_wideband_018_M001,10,323192,323193,0.956770
sim_dji_wideband_018_M001,11,329816,329817,0.955805
sim_dji_wideband_018_M001,12,357899,357900,0.959762
sim_dji_wideband_018_M001,13,376980,376981,0.949304
sim_dji_wideband_018_M001,14,420137,420138,0.947302
sim_dji_wideband_018_M001,15,501146,501147,0.950337
sim_dji_wideband_018_M001,16,557689,557690,0.946791
sim_dji_wideband_018_M001,17,596762,596763,0.951984
sim_dji_wideband_018_M001,18,603388,603389,0.949726
sim_dji_wideband_018_M001,19,623237,623238,0.947197
sim_dji_wideband_018_M001,20,629861,629862,0.950069
