candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_unknown_uav_005_M003,1,22567,22568,0.839837
sim_unknown_uav_005_M003,2,24741,24742,0.954776
sim_unknown_uav_005_M003,3,26909,26910,0.921224
sim_unknown_uav_005_M003,4,37945,37946,0.263411
sim_unknown_uav_005_M003,5,40174,40175,0.303614
sim_unknown_uav_005_M003,6,47955,47956,0.346056
sim_unknown_uav_005_M003,7,78910,78911,0.867970
sim_unknown_uav_005_M003,8,81086,81087,0.959255
sim_unknown_uav_005_M003,9,83260,83261,0.976465
sim_unknown_uav_005_M003,10,85441,85442,0.819390
sim_unknown_uav_005_M003,11,95819,95820,0.280314
sim_unknown_uav_005_M003,12,106294,106295,0.273586
sim_unknown_uav_005_M003,13,113566,113567,0.852698
sim_unknown_uav_005_M003,14,115741,115742,0.957817
sim_unknown_uav_005_M003,15,117922,117923,0.949532
sim_unknown_uav_005_M003,16,136155,136156,0.347101
sim_unknown_uav_005_M003,17,151089,151090,0.265018
sim_unknown_uav_005_M003,18,156275,156276,0.312232
sim_unknown_uav_005_M003,19,158502,158503,0.272303
sim_unknown_uav_005_M003,20,168620,168621,0.289758
