candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_autel_control_009_M005,1,64538,64539,0.286010
sim_autel_control_009_M005,2,125873,125874,0.580841
sim_autel_control_009_M005,3,126993,126994,0.728232
sim_autel_control_009_M005,4,128109,128110,0.792682
sim_autel_control_009_M005,5,129229,129230,0.686949
sim_autel_control_009_M005,6,130345,130346,0.840755
sim_autel_control_009_M005,7,131495,131496,0.670202
sim_autel_control_009_M005,8,149033,149034,0.314164
sim_autel_control_009_M005,9,197543,197544,0.289172
sim_autel_control_009_M005,10,200611,200612,0.296229
sim_autel_control_009_M005,11,209836,209837,0.683885
sim_autel_control_009_M005,12,210954,210955,0.762212
sim_autel_control_009_M005,13,212068,212069,0.729733
sim_autel_control_009_M005,14,213197,213198,0.790475
sim_autel_control_009_M005,15,214326,214327,0.746672
sim_autel_control_009_M005,16,225262,225263,0.279269
sim_autel_control_009_M005,17,231203,231204,0.267430
sim_autel_control_009_M005,18,232308,232309,0.296740
sim_autel_control_009_M005,19,261348,261349,0.272300
sim_autel_control_009_M005,20,278968,278969,0.276489
