candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_dji_control_004_M001,1,79550,79551,0.995977
sim_dji_control_004_M001,2,147272,147273,0.996297
sim_dji_control_004_M001,3,147849,147850,0.998616
sim_dji_control_004_M001,4,148406,148407,0.997911
sim_dji_control_004_M001,5,193944,193945,0.997532
sim_dji_control_004_M001,6,195108,195109,0.997134
sim_dji_control_004_M001,7,195681,195682,0.997070
sim_dji_control_004_M001,8,294083,294084,0.997540
sim_dji_control_004_M001,9,295241,295242,0.996084
sim_dji_control_004_M001,10,341781,341782,0.999257
sim_dji_control_004_M001,11,342366,342367,0.997894
sim_dji_control_004_M001,12,342917,342918,0.998158
sim_dji_control_004_M001,13,414990,414991,0.996915
sim_dji_control_004_M001,14,415549,415550,0.997981
sim_dji_control_004_M001,15,416137,416138,0.997472
sim_dji_control_004_M001,16,445965,445966,0.997376
sim_dji_control_004_M001,17,447697,447698,0.998719
sim_dji_control_004_M001,18,503812,503813,0.998629
sim_dji_control_004_M001,19,504377,504378,0.998709
sim_dji_control_004_M001,20,504946,504947,0.999345
