candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_dji_wideband_018_M001,1,66556,66557,0.948380
sim_dji_wideband_018_M001,2,70972,70973,0.952740
sim_dji_wideband_018_M001,3,114644,114645,0.952854
sim_dji_wideband_018_M001,4,171369,171370,0.949683
sim_dji_wideband_018_M001,5,173577,173578,0.950917
sim_dji_wideband_018_M001,6,198896,198897,0.950949
sim_dji_wideband_018_M001,7,201107,201108,0.956362
sim_dji_wideband_018_M001,8,236087,236088,0.957404
sim_dji_wideband_018_M001,9,295700,295701,0.948282
sim_dji_wideband_018_M001,10,323192,323193,0.956747
sim_dji_wideband_018_M001,11,329816,329817,0.955789
sim_dji_wideband_018_M001,12,357899,357900,0.959730
sim_dji_wideband_018_M001,13,376980,376981,0.949285
sim_dji_wideband_018_M001,14,420137,420138,0.947288
sim_dji_wideband_018_M001,15,501146,501147,0.950341
sim_dji_wideband_018_M001,16,557689,557690,0.946733
sim_dji_wideband_018_M001,17,596762,596763,0.951968
sim_dji_wideband_018_M001,18,603388,603389,0.949718
sim_dji_wideband_018_M001,19,623237,623238,0.947148
sim_dji_wideband_018_M001,20,629861,629862,0.950053
