candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_unknown_uav_005_M003,1,19756,19757,0.262673
sim_unknown_uav_005_M003,2,22567,22568,0.839980
sim_unknown_uav_005_M003,3,24741,24742,0.954777
sim_unknown_uav_005_M003,4,26909,26910,0.921212
sim_unknown_uav_005_M003,5,40174,40175,0.303187
sim_unknown_uav_005_M003,6,47955,47956,0.345059
sim_unknown_uav_005_M003,7,78910,78911,0.867685
sim_unknown_uav_005_M003,8,81086,81087,0.959116
sim_unknown_uav_005_M003,9,83260,83261,0.976505
sim_unknown_uav_005_M003,10,85441,85442,0.819398
sim_unknown_uav_005_M003,11,95819,95820,0.280566
sim_unknown_uav_005_M003,12,106294,106295,0.273708
sim_unknown_uav_005_M003,13,113566,113567,0.852798
sim_unknown_uav_005_M003,14,115741,115742,0.957713
sim_unknown_uav_005_M003,15,117922,117923,0.949477
sim_unknown_uav_005_M003,16,136150,136151,0.346529
sim_unknown_uav_005_M003,17,151089,151090,0.265360
sim_unknown_uav_005_M003,18,156275,156276,0.311884
sim_unknown_uav_005_M003,19,158502,158503,0.271823
sim_unknown_uav_005_M003,20,168620,168621,0.289332
