candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_remoteid_ble_005_M001,1,10424,10425,0.384198
sim_remoteid_ble_005_M001,2,24341,24342,0.271985
sim_remoteid_ble_005_M001,3,39494,39495,0.384859
sim_remoteid_ble_005_M001,4,62787,62788,0.899698
sim_remoteid_ble_005_M001,5,87451,87452,0.803301
sim_remoteid_ble_005_M001,6,113907,113908,0.900414
sim_remoteid_ble_005_M001,7,141588,141589,0.814051
sim_remoteid_ble_005_M001,8,165602,165603,0.767033
sim_remoteid_ble_005_M001,9,187624,187625,0.917813
sim_remoteid_ble_005_M001,10,213632,213633,0.866409
sim_remoteid_ble_005_M001,11,237596,237597,0.846189
sim_remoteid_ble_005_M001,12,252498,252499,0.298040
sim_remoteid_ble_005_M001,13,273618,273619,0.374685
sim_remoteid_ble_005_M001,14,297168,297169,0.344941
sim_remoteid_ble_005_M001,15,311251,311252,0.300643
sim_remoteid_ble_005_M001,16,329321,329322,0.397772
