candidateId,byteIndex,valueHex,confidence,byteSource
sim_remoteid_ble_005_M001,0,42,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,1,25,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,2,16,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,3,6C,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,4,6A,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,5,2D,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,6,F8,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,7,D4,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,8,1E,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,9,16,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,10,FA,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,11,FF,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,12,0D,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,13,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,14,02,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,15,12,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,16,55,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,17,41,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,18,53,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,19,30,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,20,30,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,21,30,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,22,31,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,23,38,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,24,35,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,25,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,26,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,27,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,28,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,29,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,30,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,31,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,32,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,33,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,34,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,35,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,36,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,37,00,0.601811,REAL_IQ
sim_remoteid_ble_005_M001,38,00,0.601811,REAL_IQ
