candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_autel_wideband_001_M001,1,103642,103643,0.973650
sim_autel_wideband_001_M001,2,107098,107099,0.975094
sim_autel_wideband_001_M001,3,160761,160762,0.972908
sim_autel_wideband_001_M001,4,164218,164219,0.971595
sim_autel_wideband_001_M001,5,174585,174586,0.978783
sim_autel_wideband_001_M001,6,255885,255886,0.974886
sim_autel_wideband_001_M001,7,289084,289085,0.971548
sim_autel_wideband_001_M001,8,290234,290235,0.974497
sim_autel_wideband_001_M001,9,292539,292540,0.972795
sim_autel_wideband_001_M001,10,293691,293692,0.972408
sim_autel_wideband_001_M001,11,298299,298300,0.972864
sim_autel_wideband_001_M001,12,335466,335467,0.974440
sim_autel_wideband_001_M001,13,375922,375923,0.975234
sim_autel_wideband_001_M001,14,428376,428377,0.974017
sim_autel_wideband_001_M001,15,429528,429529,0.971733
sim_autel_wideband_001_M001,16,462629,462630,0.973574
sim_autel_wideband_001_M001,17,490792,490793,0.975495
sim_autel_wideband_001_M001,18,511892,511893,0.974261
sim_autel_wideband_001_M001,19,521109,521110,0.973200
sim_autel_wideband_001_M001,20,540797,540798,0.976917
