candidateId,byteIndex,valueHex,confidence,byteSource
sim_autel_wideband_001_M001,0,35,0.556424,REAL_IQ
sim_autel_wideband_001_M001,1,E9,0.778332,REAL_IQ
sim_autel_wideband_001_M001,2,CA,0.813737,REAL_IQ
sim_autel_wideband_001_M001,3,67,0.718257,REAL_IQ
sim_autel_wideband_001_M001,4,70,0.683090,REAL_IQ
sim_autel_wideband_001_M001,5,8A,0.876281,REAL_IQ
sim_autel_wideband_001_M001,6,BC,0.673227,REAL_IQ
sim_autel_wideband_001_M001,7,FF,0.801943,REAL_IQ
sim_autel_wideband_001_M001,8,1A,0.819746,REAL_IQ
sim_autel_wideband_001_M001,9,EB,0.763426,REAL_IQ
sim_autel_wideband_001_M001,10,78,0.771729,REAL_IQ
sim_autel_wideband_001_M001,11,EB,0.703045,REAL_IQ
sim_autel_wideband_001_M001,12,83,0.823321,REAL_IQ
sim_autel_wideband_001_M001,13,20,0.733436,REAL_IQ
sim_autel_wideband_001_M001,14,7A,0.739404,REAL_IQ
sim_autel_wideband_001_M001,15,CF,0.803016,REAL_IQ
sim_autel_wideband_001_M001,16,BF,0.662517,REAL_IQ
sim_autel_wideband_001_M001,17,EE,0.703893,REAL_IQ
sim_autel_wideband_001_M001,18,6A,0.534949,REAL_IQ
sim_autel_wideband_001_M001,19,E5,0.722141,REAL_IQ
sim_autel_wideband_001_M001,20,35,0.780029,REAL_IQ
sim_autel_wideband_001_M001,21,F7,0.689416,REAL_IQ
sim_autel_wideband_001_M001,22,61,0.756078,REAL_IQ
sim_autel_wideband_001_M001,23,95,0.808619,REAL_IQ
sim_autel_wideband_001_M001,24,40,0.670801,REAL_IQ
sim_autel_wideband_001_M001,25,00,0.760034,REAL_IQ
sim_autel_wideband_001_M001,26,32,0.877897,REAL_IQ
sim_autel_wideband_001_M001,27,8F,0.820324,REAL_IQ
sim_autel_wideband_001_M001,28,43,0.797295,REAL_IQ
sim_autel_wideband_001_M001,29,1F,0.884570,REAL_IQ
sim_autel_wideband_001_M001,30,AA,0.875808,REAL_IQ
sim_autel_wideband_001_M001,31,5C,0.863422,REAL_IQ
sim_autel_wideband_001_M001,32,77,0.729358,REAL_IQ
sim_autel_wideband_001_M001,33,DA,0.785075,REAL_IQ
sim_autel_wideband_001_M001,34,68,0.848835,REAL_IQ
sim_autel_wideband_001_M001,35,C2,0.938038,REAL_IQ
sim_autel_wideband_001_M001,36,6E,0.864694,REAL_IQ
sim_autel_wideband_001_M001,37,2A,0.940521,REAL_IQ
sim_autel_wideband_001_M001,38,1B,0.888869,REAL_IQ
sim_autel_wideband_001_M001,39,31,0.938116,REAL_IQ
sim_autel_wideband_001_M001,40,45,0.855952,REAL_IQ
sim_autel_wideband_001_M001,41,07,0.929498,REAL_IQ
sim_autel_wideband_001_M001,42,CD,0.928296,REAL_IQ
sim_autel_wideband_001_M001,43,74,0.965592,REAL_IQ
sim_autel_wideband_001_M001,44,34,0.941786,REAL_IQ
sim_autel_wideband_001_M001,45,F2,0.882107,REAL_IQ
sim_autel_wideband_001_M001,46,CC,0.933550,REAL_IQ
sim_autel_wideband_001_M001,47,A2,0.949625,REAL_IQ
sim_autel_wideband_001_M001,48,7A,0.940399,REAL_IQ
sim_autel_wideband_001_M001,49,8A,0.945961,REAL_IQ
sim_autel_wideband_001_M001,50,5E,0.963859,REAL_IQ
sim_autel_wideband_001_M001,51,D4,0.947075,REAL_IQ
sim_autel_wideband_001_M001,52,6C,0.924634,REAL_IQ
sim_autel_wideband_001_M001,53,F8,0.982725,REAL_IQ
sim_autel_wideband_001_M001,54,7C,0.952091,REAL_IQ
sim_autel_wideband_001_M001,55,8B,0.968016,REAL_IQ
sim_autel_wideband_001_M001,56,11,0.959325,REAL_IQ
sim_autel_wideband_001_M001,57,09,0.887728,REAL_IQ
sim_autel_wideband_001_M001,58,63,0.953914,REAL_IQ
sim_autel_wideband_001_M001,59,10,0.956549,REAL_IQ
sim_autel_wideband_001_M001,60,1D,0.964451,REAL_IQ
sim_autel_wideband_001_M001,61,AF,0.954991,REAL_IQ
sim_autel_wideband_001_M001,62,34,0.965937,REAL_IQ
sim_autel_wideband_001_M001,63,F2,0.974022,REAL_IQ
sim_autel_wideband_001_M001,64,54,0.933622,REAL_IQ
sim_autel_wideband_001_M001,65,B8,0.934175,REAL_IQ
sim_autel_wideband_001_M001,66,EA,0.956803,REAL_IQ
sim_autel_wideband_001_M001,67,42,0.956187,REAL_IQ
sim_autel_wideband_001_M001,68,FE,0.943361,REAL_IQ
sim_autel_wideband_001_M001,69,F5,0.918435,REAL_IQ
sim_autel_wideband_001_M001,70,BE,0.928068,REAL_IQ
sim_autel_wideband_001_M001,71,1C,0.958055,REAL_IQ
sim_autel_wideband_001_M001,72,30,0.915231,REAL_IQ
sim_autel_wideband_001_M001,73,19,0.941080,REAL_IQ
sim_autel_wideband_001_M001,74,AB,0.945581,REAL_IQ
sim_autel_wideband_001_M001,75,B1,0.916734,REAL_IQ
sim_autel_wideband_001_M001,76,68,0.935547,REAL_IQ
sim_autel_wideband_001_M001,77,81,0.912428,REAL_IQ
sim_autel_wideband_001_M001,78,71,0.920670,REAL_IQ
sim_autel_wideband_001_M001,79,7D,0.919874,REAL_IQ
