candidateId,byteIndex,valueHex,confidence,byteSource
sim_dji_droneid_013_M001,0,3E,0.741900,REAL_IQ
sim_dji_droneid_013_M001,1,92,0.677102,REAL_IQ
sim_dji_droneid_013_M001,2,E5,0.681368,REAL_IQ
sim_dji_droneid_013_M001,3,0E,0.758670,REAL_IQ
sim_dji_droneid_013_M001,4,14,0.782693,REAL_IQ
sim_dji_droneid_013_M001,5,50,0.782167,REAL_IQ
sim_dji_droneid_013_M001,6,F2,0.668086,REAL_IQ
sim_dji_droneid_013_M001,7,D0,0.737397,REAL_IQ
sim_dji_droneid_013_M001,8,03,0.631085,REAL_IQ
sim_dji_droneid_013_M001,9,0F,0.808918,REAL_IQ
sim_dji_droneid_013_M001,10,D0,0.688233,REAL_IQ
sim_dji_droneid_013_M001,11,57,0.841094,REAL_IQ
sim_dji_droneid_013_M001,12,A9,0.740622,REAL_IQ
sim_dji_droneid_013_M001,13,7A,0.799357,REAL_IQ
sim_dji_droneid_013_M001,14,FA,0.716221,REAL_IQ
sim_dji_droneid_013_M001,15,EB,0.896162,REAL_IQ
sim_dji_droneid_013_M001,16,57,0.692210,REAL_IQ
sim_dji_droneid_013_M001,17,1E,0.781450,REAL_IQ
sim_dji_droneid_013_M001,18,9E,0.700572,REAL_IQ
sim_dji_droneid_013_M001,19,FD,0.821257,REAL_IQ
sim_dji_droneid_013_M001,20,5F,0.908238,REAL_IQ
sim_dji_droneid_013_M001,21,A0,0.736806,REAL_IQ
sim_dji_droneid_013_M001,22,7A,0.719097,REAL_IQ
sim_dji_droneid_013_M001,23,E3,0.806155,REAL_IQ
sim_dji_droneid_013_M001,24,BF,0.603520,REAL_IQ
sim_dji_droneid_013_M001,25,40,0.853887,REAL_IQ
sim_dji_droneid_013_M001,26,14,0.742256,REAL_IQ
sim_dji_droneid_013_M001,27,23,0.707825,REAL_IQ
sim_dji_droneid_013_M001,28,F0,0.736405,REAL_IQ
sim_dji_droneid_013_M001,29,5A,0.843241,REAL_IQ
sim_dji_droneid_013_M001,30,00,0.744357,REAL_IQ
sim_dji_droneid_013_M001,31,80,0.804703,REAL_IQ
sim_dji_droneid_013_M001,32,B5,0.841510,REAL_IQ
sim_dji_droneid_013_M001,33,8A,0.727435,REAL_IQ
sim_dji_droneid_013_M001,34,86,0.718935,REAL_IQ
sim_dji_droneid_013_M001,35,56,0.846623,REAL_IQ
sim_dji_droneid_013_M001,36,AA,0.736441,REAL_IQ
sim_dji_droneid_013_M001,37,A8,0.797551,REAL_IQ
sim_dji_droneid_013_M001,38,52,0.741286,REAL_IQ
sim_dji_droneid_013_M001,39,A1,0.742842,REAL_IQ
sim_dji_droneid_013_M001,40,7A,0.842979,REAL_IQ
sim_dji_droneid_013_M001,41,7D,0.621945,REAL_IQ
sim_dji_droneid_013_M001,42,F0,0.824074,REAL_IQ
sim_dji_droneid_013_M001,43,A6,0.750702,REAL_IQ
