candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_dji_droneid_022_M001,1,14509,14510,0.181479
sim_dji_droneid_022_M001,2,34269,34270,0.181479
sim_dji_droneid_022_M001,3,54029,54030,0.181479
sim_dji_droneid_022_M001,4,73789,73790,0.181479
sim_dji_droneid_022_M001,5,93549,93550,0.181479
sim_dji_droneid_022_M001,6,113309,113310,0.181479
sim_dji_droneid_022_M001,7,133069,133070,0.181479
sim_dji_droneid_022_M001,8,152829,152830,0.181479
sim_dji_droneid_022_M001,9,172589,172590,0.181479
sim_dji_droneid_022_M001,10,192349,192350,0.181479
sim_dji_droneid_022_M001,11,212109,212110,0.181479
sim_dji_droneid_022_M001,12,231869,231870,0.181479
sim_dji_droneid_022_M001,13,251629,251630,0.181479
sim_dji_droneid_022_M001,14,271389,271390,0.181479
