candidateId,byteIndex,valueHex,confidence,byteSource
sim_unknown_uav_005_M003,0,FF,0.604745,REAL_IQ
sim_unknown_uav_005_M003,1,FF,0.498454,REAL_IQ
sim_unknown_uav_005_M003,2,7C,0.270987,REAL_IQ
sim_unknown_uav_005_M003,3,19,0.403255,REAL_IQ
sim_unknown_uav_005_M003,4,F8,0.370945,REAL_IQ
sim_unknown_uav_005_M003,5,DF,0.557613,REAL_IQ
sim_unknown_uav_005_M003,6,FF,0.631346,REAL_IQ
sim_unknown_uav_005_M003,7,C3,0.424414,REAL_IQ
sim_unknown_uav_005_M003,8,F1,0.331519,REAL_IQ
sim_unknown_uav_005_M003,9,FE,0.390901,REAL_IQ
sim_unknown_uav_005_M003,10,07,0.520244,REAL_IQ
sim_unknown_uav_005_M003,11,3F,0.300807,REAL_IQ
sim_unknown_uav_005_M003,12,80,0.501040,REAL_IQ
sim_unknown_uav_005_M003,13,7F,0.370271,REAL_IQ
sim_unknown_uav_005_M003,14,20,0.513461,REAL_IQ
sim_unknown_uav_005_M003,15,00,0.527177,REAL_IQ
sim_unknown_uav_005_M003,16,01,0.442992,REAL_IQ
sim_unknown_uav_005_M003,17,FC,0.428176,REAL_IQ
sim_unknown_uav_005_M003,18,06,0.402933,REAL_IQ
sim_unknown_uav_005_M003,19,1F,0.460097,REAL_IQ
sim_unknown_uav_005_M003,20,80,0.360890,REAL_IQ
sim_unknown_uav_005_M003,21,FF,0.468793,REAL_IQ
sim_unknown_uav_005_M003,22,8E,0.189046,REAL_IQ
sim_unknown_uav_005_M003,23,00,0.351205,REAL_IQ
sim_unknown_uav_005_M003,24,1F,0.518860,REAL_IQ
sim_unknown_uav_005_M003,25,8F,0.394292,REAL_IQ
sim_unknown_uav_005_M003,26,3F,0.444257,REAL_IQ
sim_unknown_uav_005_M003,27,FF,0.610757,REAL_IQ
sim_unknown_uav_005_M003,28,A0,0.328469,REAL_IQ
sim_unknown_uav_005_M003,29,FC,0.374314,REAL_IQ
sim_unknown_uav_005_M003,30,03,0.341827,REAL_IQ
sim_unknown_uav_005_M003,31,20,0.369678,REAL_IQ
sim_unknown_uav_005_M003,32,07,0.443262,REAL_IQ
sim_unknown_uav_005_M003,33,E7,0.156553,REAL_IQ
sim_unknown_uav_005_M003,34,FF,0.395424,REAL_IQ
sim_unknown_uav_005_M003,35,FF,0.706610,REAL_IQ
sim_unknown_uav_005_M003,36,FF,0.615535,REAL_IQ
sim_unknown_uav_005_M003,37,07,0.507076,REAL_IQ
sim_unknown_uav_005_M003,38,FC,0.656922,REAL_IQ
sim_unknown_uav_005_M003,39,61,0.422048,REAL_IQ
sim_unknown_uav_005_M003,40,FF,0.214913,REAL_IQ
sim_unknown_uav_005_M003,41,3F,0.493471,REAL_IQ
sim_unknown_uav_005_M003,42,FF,0.578925,REAL_IQ
sim_unknown_uav_005_M003,43,FF,0.604448,REAL_IQ
sim_unknown_uav_005_M003,44,FF,0.770839,REAL_IQ
sim_unknown_uav_005_M003,45,FF,0.564652,REAL_IQ
sim_unknown_uav_005_M003,46,FF,0.606138,REAL_IQ
sim_unknown_uav_005_M003,47,F0,0.553967,REAL_IQ
sim_unknown_uav_005_M003,48,3F,0.636714,REAL_IQ
sim_unknown_uav_005_M003,49,E3,0.506481,REAL_IQ
sim_unknown_uav_005_M003,50,9F,0.633391,REAL_IQ
sim_unknown_uav_005_M003,51,FF,0.681782,REAL_IQ
sim_unknown_uav_005_M003,52,FF,0.734679,REAL_IQ
sim_unknown_uav_005_M003,53,FF,0.765078,REAL_IQ
sim_unknown_uav_005_M003,54,F9,0.474052,REAL_IQ
sim_unknown_uav_005_M003,55,FF,0.730915,REAL_IQ
sim_unknown_uav_005_M003,56,C0,0.422136,REAL_IQ
sim_unknown_uav_005_M003,57,FF,0.608589,REAL_IQ
sim_unknown_uav_005_M003,58,F9,0.459182,REAL_IQ
sim_unknown_uav_005_M003,59,FE,0.591847,REAL_IQ
sim_unknown_uav_005_M003,60,10,0.327584,REAL_IQ
sim_unknown_uav_005_M003,61,FF,0.543493,REAL_IQ
sim_unknown_uav_005_M003,62,00,0.602787,REAL_IQ
sim_unknown_uav_005_M003,63,38,0.430449,REAL_IQ
sim_unknown_uav_005_M003,64,03,0.519440,REAL_IQ
sim_unknown_uav_005_M003,65,87,0.371743,REAL_IQ
sim_unknown_uav_005_M003,66,E0,0.368776,REAL_IQ
sim_unknown_uav_005_M003,67,C0,0.403209,REAL_IQ
sim_unknown_uav_005_M003,68,1C,0.305322,REAL_IQ
sim_unknown_uav_005_M003,69,01,0.560782,REAL_IQ
sim_unknown_uav_005_M003,70,80,0.617719,REAL_IQ
sim_unknown_uav_005_M003,71,70,0.359653,REAL_IQ
sim_unknown_uav_005_M003,72,7C,0.284211,REAL_IQ
sim_unknown_uav_005_M003,73,0C,0.238192,REAL_IQ
sim_unknown_uav_005_M003,74,01,0.480032,REAL_IQ
sim_unknown_uav_005_M003,75,C0,0.644169,REAL_IQ
sim_unknown_uav_005_M003,76,38,0.447720,REAL_IQ
sim_unknown_uav_005_M003,77,3F,0.316193,REAL_IQ
sim_unknown_uav_005_M003,78,00,0.442918,REAL_IQ
sim_unknown_uav_005_M003,79,00,0.396868,REAL_IQ
sim_unknown_uav_005_M003,80,60,0.581093,REAL_IQ
sim_unknown_uav_005_M003,81,1E,0.408225,REAL_IQ
sim_unknown_uav_005_M003,82,1F,0.431094,REAL_IQ
sim_unknown_uav_005_M003,83,8F,0.450922,REAL_IQ
sim_unknown_uav_005_M003,84,00,0.327896,REAL_IQ
sim_unknown_uav_005_M003,85,20,0.425821,REAL_IQ
sim_unknown_uav_005_M003,86,0F,0.423747,REAL_IQ
sim_unknown_uav_005_M003,87,01,0.541335,REAL_IQ
sim_unknown_uav_005_M003,88,C1,0.369235,REAL_IQ
sim_unknown_uav_005_M003,89,80,0.337720,REAL_IQ
sim_unknown_uav_005_M003,90,30,0.426643,REAL_IQ
sim_unknown_uav_005_M003,91,03,0.523306,REAL_IQ
sim_unknown_uav_005_M003,92,00,0.551135,REAL_IQ
sim_unknown_uav_005_M003,93,FF,0.311027,REAL_IQ
sim_unknown_uav_005_M003,94,FF,0.615892,REAL_IQ
sim_unknown_uav_005_M003,95,FF,0.639541,REAL_IQ
sim_unknown_uav_005_M003,96,E2,0.209683,REAL_IQ
sim_unknown_uav_005_M003,97,1F,0.452101,REAL_IQ
sim_unknown_uav_005_M003,98,FF,0.672884,REAL_IQ
sim_unknown_uav_005_M003,99,FF,0.432928,REAL_IQ
sim_unknown_uav_005_M003,100,FF,0.568234,REAL_IQ
sim_unknown_uav_005_M003,101,FE,0.512316,REAL_IQ
sim_unknown_uav_005_M003,102,3F,0.430694,REAL_IQ
sim_unknown_uav_005_M003,103,F8,0.525173,REAL_IQ
sim_unknown_uav_005_M003,104,40,0.124563,REAL_IQ
sim_unknown_uav_005_M003,105,3C,0.164778,REAL_IQ
sim_unknown_uav_005_M003,106,00,0.224567,REAL_IQ
sim_unknown_uav_005_M003,107,1C,0.272693,REAL_IQ
sim_unknown_uav_005_M003,108,00,0.286576,REAL_IQ
sim_unknown_uav_005_M003,109,00,0.623371,REAL_IQ
sim_unknown_uav_005_M003,110,70,0.413869,REAL_IQ
sim_unknown_uav_005_M003,111,07,0.304163,REAL_IQ
sim_unknown_uav_005_M003,112,FF,0.638034,REAL_IQ
sim_unknown_uav_005_M003,113,FF,0.621192,REAL_IQ
sim_unknown_uav_005_M003,114,FF,0.645471,REAL_IQ
sim_unknown_uav_005_M003,115,FF,0.719834,REAL_IQ
sim_unknown_uav_005_M003,116,FF,0.729358,REAL_IQ
